"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHT22",1467084,82.199997,19.500000,46.041058
"DHC1080",1472360,80.621338,20.505371,48.778103
"DHT22",1472360,82.500000,19.600000,48.778103
"DHC1080",1477636,80.621338,20.505371,61.485825
"DHT22",1477636,82.599998,19.500000,61.485825
"DHC1080",1482912,80.761719,20.495300,47.702835
"DHT22",1482912,82.800003,19.500000,47.702835
"DHC1080",1488188,80.761719,20.495300,39.491692
"DHT22",1488188,83.000000,19.600000,39.491692
"DHC1080",1493464,80.761719,20.495300,51.906158
"DHT22",1493464,82.900002,19.500000,51.906158
"DHC1080",1498740,80.761719,20.495300,49.266861
"DHT22",1498740,83.099998,19.600000,49.266861
"DHC1080",1504016,81.359863,20.475159,46.725319
"DHT22",1504016,83.000000,19.600000,46.725319
"DHC1080",1509292,81.359863,20.475159,36.852394
"DHT22",1509292,82.800003,19.600000,36.852394
"DHC1080",1514568,81.359863,20.475159,50.830891
"DHT22",1514568,83.000000,19.600000,50.830891
"DHC1080",1519844,81.359863,20.475159,61.290321
"DHT22",1519844,82.900002,19.600000,61.290321
"DHC1080",1525120,81.561279,20.475159,47.702835
"DHT22",1525120,82.900002,19.500000,47.702835
"DHC1080",1530397,81.561279,20.475159,34.213100
"DHT22",1530397,83.000000,19.600000,34.213100
"DHC1080",1535673,81.561279,20.475159,51.026394
"DHT22",1535673,83.099998,19.600000,51.026394
"DHC1080",1540949,81.561279,20.475159,58.357773
"DHT22",1540949,83.199997,19.600000,58.357773
"DHC1080",1546225,81.463623,20.465088,46.627567
"DHT22",1546225,83.099998,19.500000,46.627567
"DHC1080",1551502,81.463623,20.465088,34.799610
"DHT22",1551502,83.199997,19.600000,34.799610
"DHC1080",1556778,81.463623,20.465088,50.537636
"DHT22",1556778,83.300003,19.600000,50.537636
"DHC1080",1562054,81.463623,20.465088,62.365593
"DHT22",1562054,83.099998,19.500000,62.365593
"DHC1080",1567330,81.158447,20.475159,45.259041
"DHT22",1567330,82.599998,19.600000,45.259041
"DHC1080",1572606,81.158447,20.475159,48.778103
"DHT22",1572606,82.800003,19.500000,48.778103
"DHC1080",1577882,81.158447,20.475159,62.365593
"DHT22",1577882,82.800003,19.500000,62.365593
"DHC1080",1583158,81.158447,20.475159,43.695015
"DHT22",1583158,82.599998,19.600000,43.695015
"DHC1080",1588434,80.963135,20.465088,48.484848
"DHT22",1588434,82.900002,19.500000,48.484848
"DHC1080",1593711,80.963135,20.465088,59.139786
"DHT22",1593711,83.300003,19.500000,59.139786
"DHC1080",1598987,80.963135,20.465088,48.289345
"DHT22",1598987,83.099998,19.600000,48.289345
"DHC1080",1604263,80.963135,20.465088,37.243401
"DHT22",1604263,83.099998,19.500000,37.243401
"DHC1080",1609539,81.463623,20.434875,48.582600
"DHT22",1609539,83.699997,19.600000,48.582600
"DHC1080",1614815,81.463623,20.434875,57.575756
"DHT22",1614815,83.400002,19.500000,57.575756
"DHC1080",1620091,81.463623,20.434875,48.778103
"DHT22",1620091,82.900002,19.500000,48.778103
"DHC1080",1625367,81.463623,20.434875,43.890518
"DHT22",1625367,82.800003,19.500000,43.890518
"DHC1080",1630643,81.866455,20.434875,48.484848
"DHT22",1630643,82.800003,19.500000,48.484848
"DHC1080",1635919,81.866455,20.434875,53.372433
"DHT22",1635919,82.699997,19.500000,53.372433
"DHC1080",1641195,81.866455,20.434875,48.778103
"DHT22",1641195,82.900002,19.500000,48.778103
"DHC1080",1646471,81.866455,20.434875,43.206257
"DHT22",1646471,83.199997,19.500000,43.206257
"DHC1080",1651747,81.158447,20.434875,48.387096
"DHT22",1651747,83.400002,19.500000,48.387096
"DHC1080",1657023,81.158447,20.434875,58.162270
"DHT22",1657023,83.599998,19.500000,58.162270
"DHC1080",1662299,81.158447,20.434875,48.680351
"DHT22",1662299,83.599998,19.500000,48.680351
"DHC1080",1667575,81.158447,20.434875,45.161289
"DHT22",1667575,83.400002,19.500000,45.161289
"DHC1080",1672851,81.762695,20.434875,34.115349
"DHT22",1672851,83.699997,19.500000,34.115349
"DHC1080",1678127,81.762695,20.434875,48.778103
"DHT22",1678127,83.800003,19.500000,48.778103
"DHC1080",1683403,81.762695,20.434875,57.771259
"DHT22",1683403,83.599998,19.500000,57.771259
"DHC1080",1688679,81.762695,20.434875,48.680351
"DHT22",1688679,83.599998,19.500000,48.680351
